VOCs,NM1,NM2,NM3,NM4,AM1,AM2,AM3,AM4,NMP1,NMP2,NMP3,NMP4,AMP1,AMP2,AMP3,AMP4
"1-Cyclohexene-1-carboxaldehyde, 2,6,6-trimethyl-",863120.533,668305.8579,897805.6902,907370.8125,1101607.229,1186704.385,1035871.73,1078169.584,584517.4394,830898.8651,676861.4664,699097.247,752629.887,814533.3372,836621.9157,943448.7783
"1H-Pyrrole-2,5-dione, 3-ethyl-4-methyl-",706904.6461,1972384.257,1020563.844,1238242.933,1227007.789,2142953.76,1572624.776,1275353.698,2053819.137,942209.1254,1856921.555,1456540.176,1188947.291,6907391.313,1851646.471,2737977.455
"Benzene, 1,3-bis(1,1-dimethylethyl)-",3302289.872,3344957.517,3014822.531,2555068.873,2700725.067,3100024.963,2433666.764,2571358.771,3543475.062,2418922.456,3347861.636,2665559.755,2558322.629,2711324.569,2645014.844,2710135.702
"2,4-Dimethyldodecane",310006.3959,300057.3414,301789.6068,260188.726,240550.0176,281750.5119,266849.8447,292686.8765,297622.5368,266403.4447,311878.0163,294568.0797,281044.1206,230283.5289,263848.7027,263318.9317
Nonanoic acid,202198.9674,589399.1934,328974.0807,530208.8336,472045.0513,678919.6412,859117.0038,711681.5063,327779.4037,277224.5007,610964.3373,411836.8326,561730.1992,547623.8415,771434.8116,1220387.445
"Dodecane, 4,6-dimethyl-",1221070.858,1182809.348,1152389.608,1035887.236,1008225.311,1067503.509,1078168.226,1114853.385,1110605.407,1151169.103,1142844.306,1148180.241,1127345.752,827473.1441,1105739.208,1025982.415
"2,4-Decadienal, (E,E)-",614524.8217,420195.477,946974.1193,785598.7938,952613.634,924558.5746,971839.4597,789246.1992,775623.4561,974997.391,728744.0183,861700.2145,999303.5139,853563.225,1144977.388,1047703.365
"Dodecane, 2,6,11-trimethyl-",432520.234,415860.6437,417563.1047,379417.294,345292.9378,384685.7771,384664.2562,394076.8843,415106.7124,384129.7063,444675.5475,402231.7899,395939.3112,320209.5236,400703.6426,377970.7506
Eugenol,1512643.409,1720961.342,1393972.023,913478.5641,812737.8088,439524.101,1363627.973,1460761.997,2841973.108,1527664.464,4049412.052,972576.7003,431624.4828,685447.734,1403636.348,3502552.764
Tetradecane,275593.0078,317456.2956,275851.1502,250212.6374,273305.4343,277143.0435,319375.512,308624.7961,387168.4441,289613.8636,388705.4308,312448.8028,293292.4437,385223.6937,287568.7015,366712.5829
